C_ID,T_ID,Text,Completion
0,0,스타크래프트2 테란 지상(Ground) 유닛 정보,"스타크래프트2에 등장하는 테란 지상 유닛 정보를 알려드리겠습니다.
- 건설로봇(SCV) : 기본 일꾼 유닛입니다. 자원을 채취하고, 건물을 건설하며, 건물과 기계유닛을 수리할 수 있습니다.
- 지게로봇(MULE) : 일반 건설로봇보다 더 빨리 광물을 채취합니다. 궤도 사령부의 에너지 50을 소모하여 90초간 소환합니다. 
- 해병(Marine) : 병영에서 생산하는 다목적 보병 유닛으로 테란의 기본 공격 유닛 입니다.
- 사신(Reaper) : 병영에서 생산하는 기습 유닛입니다. 언덕을 오르내릴 수 있으며, 비전투시 체력이 빠르게 회복됩니다.
- 불곰(Marauder) : 병영에서 생산하는 중돌격 보병유닛 입니다. (기술실 필요)
- 유령(Ghost) : 병영에서 생산하는 저격수 입니다. 은폐, EMP, 부동조준과 같은 각종 전술 능력을 사용할 수 있으며, 전술 핵미사일을 투하할 수 있습니다.
- 공성 전차(Siege Tank) : 군수공장에서 생산. 공성모드로 전환하여 장거리 지원 포격이 가능한 중전차 입니다.
- 토르(Thor) : 군수공장에서 생산. 중돌격 기계 유닛으로 다양한 능력을 사용할 수 있습니다.
- 화염차(Hellion) : 군수공장에서 생산. 직선으로 불길을 뿜어, 불길이 닿는 모든 적에게 피해를 줍니다. 화염기갑병으로 변신이 가능합니다.
- 화염기갑병(Hellbat) : 군수공장에서 생산. 근거리 전투 유닛으로 전방에 작은 부채꼴 형태의 화염 공격을 합니다. 화염차로 변신이 가능합니다.
- 싸이클론(Cyclone) : 군수공장에서 생산. 기동형 차량으로, 목표물 고정을 사용해 이동 중에도 공격할 수 있습니다.
- 땅거미지뢰(Widow Mine) : 군수공장에서 생산. 로봇 지뢰입니다. 잠복 상태로 있다가 근처에 다가오는 적에게 미사일을 발사하여 범위 피해를 줍니다."
1,0,스타2 테란의 지상(Ground) 유닛들,"다음은 스타크래프트2에 등장하는 테란 지상 유닛 입니다.
- 건설로봇(SCV) : 기본 일꾼 유닛. 자원 채취와 건물 건설, 건물과 기계유닛 수리 가능.
- 지게로봇(MULE) : 일반 건설로봇보다 광물을 더 빨리 채취합니다. 궤도 사령부의 에너지 50을 소모하여 90초간 소환합니다. 
- 해병(Marine) : 병영에서 생산하는 테란의 기본 공격 유닛 입니다.
- 사신(Reaper) : 병영에서 생산하는 테란의 기습 보병 유닛. 언덕을 오르내릴 수 있으며, 비전투시 체력이 빠르게 회복.
- 불곰(Marauder) : 병영에서 생산하는 중돌격 보병유닛 입니다. (기술실 필요) 
- 유령(Ghost) : 병영에서 생산하는 유닛입니다. 은폐, EMP, 부동조준, 전술 핵미사일(유령사관학교 핵 배치 필요)을 투하를 사용할 수 있습니다. (기술실, 유령사관학교 필요)
- 공성 전차(Siege Tank) : 군수공장에서 생산하는 중전차. 공성모드로 전환하여 장거리 지원 포격 가능. (기술실 필요)
- 토르(Thor) : 군수공장에서 생산. 중돌격 기계 유닛 다양한 능력을 사용 가능. (기술실 필요)
- 화염차(Hellion) : 군수공장에서 생산. 직선으로 불길을 뿜어, 적에게 피해를 줌. 화염기갑병으로 변신 가능.
- 화염기갑병(Hellbat) : 군수공장에서 생산되는 근거리 전투 유닛. 전방에 작은 부채꼴 형태의 화염 공격. 화염차로 변신 가능.
- 싸이클론(Cyclone) : 군수공장에서 생산되는 기동형 차량, 목표물 고정능력으로 이동 중에도 공격 가능. (기술실 필요)
- 땅거미지뢰(Widow Mine) : 군수공장에서 생산. 로봇 지뢰. 잠복 상태로 있다가 근처에 다가오는 적에게 미사일을 발사, 범위 피해를 입힘."
2,0,스타2 테란의 모든 지상(Ground) 유닛,"다음은 스타크래프트2의 테란 지상 유닛 입니다.
- 건설로봇(SCV) : 기본 일꾼 유닛. 건물과 기계유닛 수리 가능하며, 자원 채취와 건물을 건설할 수 있음
- 지게로봇(MULE) : 궤도 사령부의 에너지 50을 소모하여 일정 시간동안 소환. 건설로봇보다 광물을 더 빨리 채취함. 
- 해병(Marine) : 테란의 기본 공격 유닛으로 병영에서 생산할 수 있음.
- 사신(Reaper) : 병영에서 생산되는 테란의 기습 보병 유닛으로, 언덕을 오르내릴 수 있으며, 비전투시 체력을 빠르게 회복함.
- 불곰(Marauder) : 중돌격 보병유닛 으로 기술실이 부착된 병영에서 생산할 수 있습니다. 
- 유령(Ghost) : 은폐, EMP, 부동조준, 전술 핵미사일(유령사관학교 핵 배치 필요)을 투하를 사용할 수 있는 고급 유닛입니다. 유령 사관학교가 건설됐다면 기술실이 부착된 병영에서 생산 가능합니다.
- 공성 전차(Siege Tank) : 공성모드로 전환하여 장거리 지원 포격이 가능한 기술실이 부착된 군수공장에서 생산하는 중전차 입니다.
- 토르(Thor) : 중돌격 기계 유닛으로 다양한 능력을 사용 가능합니다. 기술실이 부착된 군수공장에서 생산 가능합니다.
- 화염차(Hellion) : 직선으로 불길을 뿜어, 적에게 피해를 줌. 화염기갑병으로 변신 가능. 군수공장에서 생산 가능합니다.
- 화염기갑병(Hellbat) : 근거리 전투 유닛. 전방에 작은 부채꼴 형태의 화염 공격. 화염차로 변신 가능합니다. 군수공장에서 생산 가능합니다.
- 싸이클론(Cyclone) : 기술실이 부착된 군수공장에서 생산되는 기동형 차량입니다. 목표물 고정능력으로 이동 중에도 공격이 가능합니다.
- 땅거미지뢰(Widow Mine) : 잠복 상태로 있다가 근처에 다가오는 적에게 미사일을 발사하여 범위 피해를 입히는 로봇 지뢰입니다. 군수공장에서 생산 가능합니다."
3,0,스타크래프트2 테란 공중 유닛 정보,"스타크래프트2에 등장하는 테란 공중유닛 정보를 알려드리겠습니다.
- 바이킹(Viking) : 튼튼한 전투 지원기 입니다. 강력한 대주력함 공중 미사일을 탑재하고 있습니다. 돌격 모드로 변신하여 지상에 내려와 지상 유닛을 공격할 수 있습니다.
- 벤시(Banshee) : 전술 타격기입니다. 은폐 업그레이드를 사용하여 은폐가 가능합니다.
- 밤까마귀(Raven) : 공중 지원 유닛입니다. 자동 포탑 설치, 방해 매트릭스, 대장갑 미사일을 사용할 수 있습니다.
- 의료선(Medivac) : 공중 수송기입니다. 주위 생체 유닛을 치료하며, 재연소 장치를 사용하여 빠른 이동이 가능합니다.
- 전투순양함(Battlecruiser) : 강력한 군함입니다. 야마토 포와 전술 차원 도약을 사용할 수 있습니다."
4,0,스타2 테란 일꾼 정보,"스타크래프트2의 테란 일꾼은 건설로봇(SCV) 입니다.
건설로봇은 자원을 채취할 수 있으며, 자원을 소모하여 건물을 건설하거나 테란, 프로토스 기계 유닛과 테란 건물을 수리할 수 있습니다."
4,1,"스타2 테란 일꾼, 건설로봇 공격능력","건설로봇은 융합 절단기(Fusion Cutter)를 사용하여 지상 목표물을 공격할 수 있습니다. 자세한 정보는 아래와 같습니다.
- 공격력 : 5
- 사거리 : 근접(0.1)
- 공격 속도 : 1.5(아주 빠름 기준 1.07)
- 대상 : 지상 목표물"
4,2,"스타2 테란 일꾼, 건설로봇 방어 능력","건설로봇은 낮은 체력과 방어력을 보유하고 있습니다. 자원을 채취하는 중요한 유닛으로 다른 공격 유닛들의 호위가 필요합니다. 건설 로봇의 방어 능력은 아래와 같습니다.
- 생명력 : 45
- 방어력 : 0(+1)
- 특성 : 경장갑-생체-기계"
4,3,건설로봇에 적용 가능한 업그레이드,"건설로봇에 적용되는 업그레이드는 공학 연구소의 보병 장갑 업그레이드 1, 2, 3단계가 유일합니다."
4,4,건설 로봇의 기본 능력,"건설 로봇의 기본 능력은 6가지 입니다.
- 채취 : 선택한 광물 지대나 베스핀 간헐천에서 자원을 채취합니다.
- 자원 반환 : 운반한 자원을 가장 가까운 자원 수집 구조물로 옮깁니다.
- 건물 건설 : 기본 건물을 건설합니다.
- 고급 건물 건설 : 고급 건물을 건설합니다.
- 수리 : 일정 자원을 소모하여 테란, 프로토스 기계 유닛과 테란 건물의 체력을 복구합니다.
- 스프레이 : 현재 장착한 스프레이를 대상 위치의 지형에 그립니다."
5,0,스타크래프트2 테란의 기본 유닛 해병,"스타크래프트2의 테란 기본 공격 유닛은 해병(Marine)으로 볼 수 있습니다. 해병은 병영에서 생산 가능한 다목적 보병 유닛 입니다.
낮은 체력을 보유하고 있지만, 빠른 공격속도를 보유하고 있으므로 다수의 해병으로 구성된 부대는 막강한 파괴력을 자랑합니다."
5,1,해병의 공격 능력 ,"해병은 C-14 가우스 소총(C-14 Gauss Rifle)을 사용하여 지상 및 공중 유닛을 공격할 수 있습니다. 자세한 정보는 아래와 같습니다.
- 공격력 : 6(+1)
- 사거리 : 5
- 공격 속도 : 0.8608 --> 0.574(전투자극제 사용) / 아주 빠름에서 0.61 --> 0.41(전투자극제 사용)
- 대상 : 지상 및 공중 목표물"
5,2,해병의 방어 능력,"해병은 낮은 체력과 방어력을 보유하고 있습니다. 하지만 다수의 해병으로 구성된 부대는 강력한 화력을 자랑합니다. 자세한 정보는 아래와 같습니다.
- 생멱력 : 45 --> 55(전투 방패 업그레이드)
- 방어력 : 0(+1)
- 특성 : 경장갑-생체"
5,3,해병에 적용 가능한 업그레이드,"해병에 적용되는 업그레이드는 4가지가 있습니다.
- 전투 자극제 사용 : 몇 초 동안 이동 및 공격속도를 크게 향상스키지만, 사용 즉시 생명력 10을 잃습니다.
- 전투 방패 : 해병의 체력을 10만큼 증가시킵니다.
- 보병 무기 업그레이드 1, 2, 3 단계 : 해병의 공격력을 증가시킵니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 해병의 방어력을 증가시킵니다."
5,4,해병의 기본 능력,해병이 보유한 별도의 기본 능력은 존재하지 않습니다.
6,0,스타2 해병의 기본 정보,해병(Marine)은 스타크래프트2에 등장하는 테란의 기본 지상 공격 유닛 입니다. C-14가우스 소총을 사용하며 여러명이 뭉치면 큰 화력을 낼 수 있습니다.
6,1,스타2 해병의 공격 능력,"해병은 C-14 가우스 소총(C-14 Gauss Rifle)을 사용하여 지상 및 공중 유닛을 공격할 수 있습니다. 자세한 정보는 아래와 같습니다.
- 공격력 : 6(+1)
- 사거리 : 5
- 공격 속도 : 0.8608 --> 0.574(전투자극제 사용) / 아주 빠름에서 0.61 --> 0.41(전투자극제 사용)
- 대상 : 지상 및 공중 목표물"
6,2,스타2 해병의 방어 능력,"해병은 낮은 체력과 방어력을 보유하고 있습니다. 하지만 다수의 해병으로 구성된 부대는 강력한 화력을 자랑합니다. 자세한 정보는 아래와 같습니다.
- 생멱력 : 45 --> 55(전투 방패 업그레이드)
- 방어력 : 0(+1)
- 특성 : 경장갑-생체"
6,3,해병에 적용 가능한 업그레이드,"해병에 적용되는 업그레이드는 4가지가 있습니다.
- 전투 자극제 사용 : 몇 초 동안 이동 및 공격속도를 크게 향상스키지만, 사용 즉시 생명력 10을 잃습니다.
- 전투 방패 : 해병의 체력을 10만큼 증가시킵니다.
- 보병 무기 업그레이드 1, 2, 3 단계 : 해병의 공격력을 증가시킵니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 해병의 방어력을 증가시킵니다."
6,4,해병의 기본 능력,해병이 보유한 별도의 기본 능력은 존재하지 않습니다.
7,0,스타크래프트2 사신의 기본 정보,"사신(Reaper)은 스타크래프트2에 등장하는 테란 강습 유닛 입니다. 언덕을 오르내릴 수 있으며, 비전투시 체력이 빠르게 회복됩니다. 또한 KD8 지뢰를 사용하여 범위 피해를 입힐 수 있습니다."
7,1,사신의 공격 능력,"사신은 P-45 가우스 권총(P-45 Gauss Pistol)을 사용하여 지상 유닛을 공격합니다.
- 공격력 : 4(+1) x 2
- 사거리 : 5
- 공격 속도 : 1.1 (아주 빠름 기준 0.79)
- 대상 : 지상 목표물"
7,2,사신의 방어 능력,"사신은 낮은 체력을 가지고 있지만 높은 기동력으로 적에게 혼란을 줄 수 있습니다. 자세한 정보는 아래와 같습니다.
- 생명력 : 60
- 방어력 : 0(+1)
- 특성 : 경장갑-생체"
7,3,사신에 적용 가능한 업그레이드,"사신은 2가지 적용 가능한 업그레이드가 있습니다.
- 보병 무기 업그레이드 1, 2, 3 단계 : 사신의 공격력을 증가시킵니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 사신의 방어력을 증가시킵니다."
7,4,사신의 기본 능력,"사신은 3가지 기본 능력을 보유하고 있습니다.
- KD8 지뢰 : 일정 시간 후 폭발하여 주위 유닛에게 5의 피해를 주고 밀쳐냅니다.
- 추진기 : 언덕을 오르내릴 수 있습니다.
- 전투 회복제 : 비전투 시 체력이 빠르게 회복됩니다."
8,0,불곰의 정보,"불곰(Marauder)는 테란의 중돌격 보병 유닛 입니다. 응징자 유탄(Punisher Grenades)로 적을 공격하며, 중장갑 상대의 적에게 보다 큰 피해를 입힙니다.
병영에 부착된 기술실에서 충격탄(Concussive Shells) 연구가 완료되면, 불곰의 응징자 유탄이 적을 일시적으로 느리게 만듭니다. (거대 유닛은 면역)"
9,0,불곰이 사용 가능한 업그레이드,"불곰에 적용할 수 있는 업그레이드는 아래와 같습니다.
- 전투 자극제 사용(Use Stimpack) : 병영의 부착된 기술실에서 연구 가능합니다. 불곰이 사용할 경우 즉시 20의 피해를 입지만, 몇 초 동안 이동속도와 공격속도를 크게 향상시킵니다.
- 충격탄(Concussive Shells) : 병영의 부착된 기술실에서 연구 가능합니다. 불곰의 기본 공격에 적중한 적 유닛을 일시적으로 느리게 만듭니다. 거대 유닛은 면역입니다.
- 보병 무기 업그레이드 1, 2, 3 단계 : 공학 연구소에서 연구 가능합니다. 불곰의 공격력을 증가시키는 업그레이드 입니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 공학 연구소에서 연구 가능합니다. 불곰의 방어력을 증가시킵니다."
10,0,스타2 불곰의 기본 정보,"스타크래프트2에 등장하는 불곰(Marauder)은 테란의 중돌격 보병으로 응진자 유탄(Punisher Grenades)을 사용하며, 중장갑 상대의 적에게 큰 피해를 입히는 보병 유닛 입니다.
높은 체력을 보유하고 있어 체력이 낮은 해병을 보호하며 전투가 가능합니다."
10,1,불곰의 공격 능력,"불곰은 응징자 유탄(Punisher Grenades)를 사용하여 적을 공격하며 중장갑 상대의 적에게 보다 큰 피해를 입힙니다.
- 공격력 : 10(+1) / 중장갑 상대 : 20(+2)
- 사거리 : 6
- 공격 속도 : 1.5 --> 1(전투 자극제 사용)
- 대상 : 지상 목표물"
10,2,불곰의 방어 능력,"불곰은 높은 체력을 보유하고 있지만 지상 공격만 가능하여, 해병 부대와 조합하여 사용하는 것이 좋습니다.
- 생명력 : 125
- 방어력 : 1(+1)
- 특성 : 중장갑-생체"
10,3,불곰의 기본 능력,불곰이 보유한 기본 능력은 존재하지 않습니다.
10,4,불곰에 적용 가능한 업그레이드,"불곰에 적용 가능한 업그레이드는 4가지가 있습니다.
- 전투 자극제 사용(Use Stimpack) : 몇 초 동안 이동 및 공격속도를 크게 향상스키지만, 사용 즉시 생명력 20을 잃습니다.
- 충격탄(Concussive Shells) : 불곰이 명중시킨 대상의 움직임이 일시적으로 느려집니다. (거대 유닛은 면역)
- 보병 무기 업그레이드 1, 2, 3 단계 : 불곰의 공격력을 증가시킵니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 불곰의 방어력을 증가시킵니다."
11,0,스타크래프트2 유령의 기본 정보,스타크래프트2 에서 등장하는 유령(Ghost)는 사이오닉 능력을 가진 테란의 전술 지상 유닛 입니다. 부동 조준을 사용하여 목표물에게 큰 피해를 주며 EMP탄환을 사용하여 상대의 마법 및 은폐 유닛을 무력화 시킬 수 있습니다.
11,1,유령의 공격 능력,"유령은 C-10 산탄 소총(C-14 Canister Rifle)을 사용하며, 경장갑 상대 유닛에게 큰 피해를 입힐 수 있습니다.
- 공격력 : 10(+1) / 경장갑 상대 : 20(+2)
- 사거리 : 6
- 공격 속도 : 1.5(아주 빠름 기준 1.07)
- 대상 : 지상 및 공중 목표물"
11,2,유령의 방어 능력,"유령은 해병보다 높은 체력을 가졌으며, 은폐 능력을 사용하여 적의 감지를 회피할 수 있습니다.
- 생명력 : 100
- 방어력 : 0(+1)
- 특성 : 생체-사이오닉"
11,3,유령의 기본 능력,"유령은 5가지 기본 능력이 존재합니다.
- 부동 조준 : 목표를 조준하여 유령이 캐스팅 시간동안 피해를 받지 않으면 저격하여 큰 피해(130 / 사이오닉:170)를 입힙니다. 방어력을 무시합니다.
- EMP 탄환 : 선택 영역에 EMP를 생성하여, 그 안에 있는 모든 유닛의 에너지와 보호막에 100의 피해를 입힙니다. 은폐 유닛을 잠시 드러냅니다.
- 전술 핵 공격 : 유령 사관학교에서 생산한 전술 핵미사일을 해당 지점에 투하합니다.
- 공격 중지 : 무기를 집어넣고 공격을 수행하지 않습니다.
- 무기 사용 : 무기를 꺼내 자동 공격을 수행합니다."
11,4,유령에 적용 가능한 업그레이드,"유령은 한가지 업그레이드가 존재합니다.
- 은폐 : 유령을 은폐시켜 적의 감지로부터 숨깁니다.
- 보병 무기 업그레이드 1, 2, 3 단계 : 유령의 공격력을 증가시킵니다.
- 보병 장갑 업그레이드 1, 2, 3 단계 : 유령의 방어력을 증가시킵니다."
12,0,스타2 바이킹의 기본 정보,"바이킹(Viking)은 스타크래프트2에 등장하는 테란 공중 유닛 입니다. 공중을 공격할 수 있는 전투기 모드와, 지상에 내려와 지상 유닛을 공격할 수 있는 돌격 모드 전환이 가능합니다."
